,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,encoder,encoder,encoder,encoder,encoder,encoder,encoder,encoder,"encoder:Marker1","encoder:Marker1","encoder:Marker1","encoder:Marker1","encoder:Marker2","encoder:Marker2","encoder:Marker2","encoder:Marker2","encoder:Marker3","encoder:Marker3","encoder:Marker3","encoder:Marker3","encoder:Marker4","encoder:Marker4","encoder:Marker4","encoder:Marker4",encoder:Marker1,encoder:Marker1,encoder:Marker1,encoder:Marker2,encoder:Marker2,encoder:Marker2,encoder:Marker3,encoder:Marker3,encoder:Marker3,encoder:Marker4,encoder:Marker4,encoder:Marker4
,ID,"18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","18A7D105CFC211ED20C8B848E828B4","C3B90","C3B90","C3B90","C3BA0","C3BA0","C3BA0","C3BB0","C3BB0","C3BB0","C3C10","C3C10","C3C10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.080000,-0.014649,0.144522,0.024489,0.989090,-0.028810,0.066129,0.078131,0.000175,0.017412,0.064848,0.007989,0.990019,-0.043134,0.068670,0.105132,0.941898,-0.069299,0.067463,0.055633,0.968293,-0.020218,0.063536,0.143770,0.939119,0.017451,0.064843,0.007951,-0.043234,0.068763,0.105293,-0.069204,0.067417,0.055728,-0.020252,0.063493,0.143552
9,0.090000,-0.014713,0.144479,0.024486,0.989095,-0.028814,0.066128,0.078127,0.000179,0.017414,0.064839,0.007990,0.986416,-0.043141,0.068671,0.105126,0.947072,-0.069302,0.067458,0.055625,0.964505,-0.020228,0.063543,0.143767,0.943745,0.017457,0.064833,0.007955,-0.043237,0.068818,0.105314,-0.069223,0.067388,0.055696,-0.020254,0.063471,0.143543
10,0.100000,-0.014556,0.144479,0.024387,0.989100,-0.028812,0.066149,0.078144,0.000189,0.017416,0.064869,0.008006,0.986060,-0.043138,0.068689,0.105144,0.935694,-0.069299,0.067496,0.055642,0.968357,-0.020226,0.063544,0.143783,0.940817,0.017466,0.064863,0.007967,-0.043231,0.068829,0.105341,-0.069228,0.067429,0.055714,-0.020254,0.063476,0.143553
11,0.110000,-0.014636,0.144481,0.024374,0.989099,-0.028809,0.066130,0.078135,0.000183,0.017418,0.064838,0.007997,0.984086,-0.043135,0.068674,0.105134,0.935146,-0.069297,0.067473,0.055633,0.969805,-0.020224,0.063535,0.143774,0.939651,0.017461,0.064832,0.007968,-0.043235,0.068773,0.105299,-0.069209,0.067425,0.055731,-0.020254,0.063490,0.143542
12,0.120000,-0.014835,0.144525,0.024535,0.989086,-0.028808,0.066150,0.078138,0.000153,0.017414,0.064851,0.007997,0.986976,-0.043133,0.068698,0.105138,0.945954,-0.069298,0.067470,0.055639,0.965059,-0.020216,0.063581,0.143778,0.940233,0.017455,0.064846,0.007955,-0.043234,0.068789,0.105281,-0.069217,0.067427,0.055722,-0.020238,0.063539,0.143593
13,0.130000,-0.014567,0.144452,0.024340,0.989105,-0.028818,0.066135,0.078136,0.000170,0.017414,0.064848,0.008000,0.988280,-0.043145,0.068677,0.105135,0.949142,-0.069304,0.067485,0.055632,0.966911,-0.020236,0.063531,0.143776,0.944127,0.017455,0.064843,0.007978,-0.043247,0.068776,0.105281,-0.069223,0.067438,0.055726,-0.020256,0.063485,0.143558
14,0.140000,-0.014706,0.144397,0.024616,0.989104,-0.028813,0.066137,0.078124,0.000176,0.017427,0.064864,0.007994,0.987650,-0.043144,0.068676,0.105121,0.942498,-0.069297,0.067459,0.055616,0.973007,-0.020237,0.063551,0.143766,0.941680,0.017473,0.064859,0.007976,-0.043227,0.068804,0.105294,-0.069241,0.067398,0.055685,-0.020257,0.063489,0.143542
15,0.150000,-0.014674,0.144466,0.024554,0.989096,-0.028808,0.066171,0.078155,0.000171,0.017422,0.064894,0.008018,0.987304,-0.043136,0.068710,0.105154,0.944435,-0.069295,0.067498,0.055652,0.968195,-0.020223,0.063580,0.143795,0.943091,0.017465,0.064889,0.007993,-0.043242,0.068819,0.105315,-0.069216,0.067447,0.055737,-0.020240,0.063529,0.143574
16,0.160000,-0.014457,0.144351,0.024776,0.989111,-0.028812,0.066151,0.078148,0.000167,0.017433,0.064927,0.008021,0.990269,-0.043146,0.068671,0.105145,0.949984,-0.069295,0.067474,0.055638,0.970767,-0.020240,0.063531,0.143789,0.942433,0.017471,0.064922,0.008012,-0.043230,0.068772,0.105297,-0.069227,0.067426,0.055720,-0.020262,0.063484,0.143564
17,0.170000,-0.014709,0.144401,0.024897,0.989097,-0.028808,0.066171,0.078147,0.000152,0.017431,0.064929,0.008016,0.991657,-0.043140,0.068699,0.105144,0.950631,-0.069293,0.067471,0.055640,0.973169,-0.020229,0.063584,0.143788,0.946708,0.017464,0.064923,0.008011,-0.043235,0.068795,0.105289,-0.069224,0.067426,0.055708,-0.020236,0.063539,0.143580
